driverId,constructorId,grid,year,points,winner
13,6,5,2008,2.0,0
12,4,12,2008,5.0,0
8,6,2,2008,6.0,0
9,2,6,2008,8.0,0
4,4,4,2008,10.0,1
5,1,5,2008,0.0,0
3,3,14,2008,0.0,0
7,5,8,2008,0.0,0
6,3,17,2008,0.0,0
14,9,15,2008,0.0,0
12,4,10,2008,1.0,0
10,7,12,2008,2.0,0
9,2,11,2008,3.0,0
2,2,9,2008,4.0,0
4,4,4,2008,5.0,0
8,6,2,2008,6.0,0
13,6,3,2008,8.0,0
1,1,1,2008,10.0,1
14,9,14,2008,0.0,0
12,4,11,2008,0.0,0
6,3,16,2008,0.0,0
7,5,9,2008,0.0,0
3,3,18,2008,0.0,0
9,2,13,2008,0.0,0
2,2,8,2008,0.0,0
5,1,5,2008,2.0,0
10,7,10,2008,3.0,0
1,1,4,2008,4.0,0
8,6,3,2008,6.0,0
4,4,6,2008,8.0,0
13,6,1,2008,10.0,1
9,2,5,2007,0.0,0
14,9,18,2007,0.0,0
11,8,10,2007,0.0,0
5,4,13,2007,0.0,0
3,3,12,2007,2.0,0
13,6,22,2007,3.0,0
2,2,3,2007,5.0,0
1,1,4,2007,6.0,0
4,1,2,2007,8.0,0
8,6,1,2007,10.0,1
14,9,13,2007,0.0,0
3,3,6,2007,0.0,0
9,2,7,2007,0.0,0
11,8,14,2007,0.0,0
5,4,11,2007,1.0,0
13,6,1,2007,4.0,0
2,2,5,2007,5.0,0
8,6,3,2007,6.0,0
1,1,4,2007,8.0,0
4,1,2,2007,10.0,1
11,8,17,2007,0.0,0
14,9,21,2007,0.0,0
3,3,10,2007,0.0,0
5,4,12,2007,0.0,0
9,2,6,2007,3.0,0
4,1,4,2007,4.0,0
2,2,5,2007,5.0,0
8,6,3,2007,6.0,0
1,1,2,2007,8.0,0
13,6,1,2007,10.0,1
8,6,3,2007,0.0,0
2,2,7,2007,0.0,0
11,8,13,2007,1.0,0
5,4,8,2007,2.0,0
3,3,11,2007,3.0,0
14,9,9,2007,4.0,0
9,2,5,2007,5.0,0
4,1,2,2007,6.0,0
1,1,4,2007,8.0,0
13,6,1,2007,10.0,1
11,8,21,2007,0.0,0
14,9,13,2007,0.0,0
5,4,15,2007,0.0,0
3,3,5,2007,0.0,0
8,6,16,2007,1.0,0
2,2,7,2007,3.0,0
